dex_number,name,type_01,type_02,ability_01,ability_02,hidden_ability,egg_group_01,egg_group_02,is_legendary,bio,hp,attack,defense,sp_attack,sp_defense,speed
#0001,Bulbasaur,Grass, Poison,Overgrow,,Chlorophyll,Monster, Grass,False,"Bulbasaur is a dual-type Grass/Poison Pokémon introduced in Generation I. It evolves into Ivysaur starting at level 16, which evolves into Venusaur starting at level 32. Along with Charmander and Squirtle, Bulbasaur is one of the three first partner Pokémon of Kanto available at the beginning of Pokémon Red, Green, Blue, FireRed, and LeafGreen. Bulbasaur is a small, quadrupedal amphibian Pokémon that has blue-green skin with darker patches. It has red eyes with white pupils, pointed, ear-like structures on top of its head, and a short, blunt snout with a wide mouth. A pair of small, pointed teeth are visible in the upper jaw when its mouth is open. Each of its thick legs ends with three sharp claws. On Bulbasaur's back is a green plant bulb that conceals two slender, tentacle-like vines, which is grown from a seed planted there at birth. The bulb also provides it with energy through photosynthesis as well as from the nutrient-rich seeds contained within. First partner Pokémon are raised by Breeders to be distributed to new Trainers. Having been raised by humans from birth, Bulbasaur is regarded as both a rare and well-behaved Pokémon. It is known to be extremely loyal, even after long-term abandonment. Bulbasaur have demonstrated a nurturing instinct towards younger, weaker Pokémon, one individual even using its vines to pick up a crying Pokémon, gently rocking it back and forth through the air while singing a ""Bulba-by"". Its vines are long and strong enough to allow Bulbasaur to grab the branches of trees and pull itself up to reach berries. Bulbasaur can survive for days without even eating a single morsel. As mentioned in Sleep Style Dex, Bulbasaur is known to sleep in sunny spots. It is found in grasslands and forests throughout the Kanto region. However, due to Bulbasaur's status as first partner Pokémon, it is hard to come by in the wild and generally found under the ownership of a Trainer. It has been recently seen living in the Terarium of Blueberry Academy. A Bulbasaur's bulb will flash blue when it is ready to evolve. If it does not want to evolve, it struggles to resist the transformation. Many Bulbasaur gather every year in a hidden garden in Kanto to evolve into Ivysaur in a ceremony led by a Venusaur.",45,49,49,65,65,45
#0002,Ivysaur,Grass, Poison,Overgrow,,Chlorophyll,Monster, Grass,False,"Ivysaur is a dual-type Grass/Poison Pokémon introduced in Generation I. It evolves from Bulbasaur starting at level 16 and evolves into Venusaur starting at level 32. Ivysaur is a quadrupedal amphibian Pokémon that has blue-green skin with darker patches. On top of its head are pointed ears with black insides and it has narrow red eyes. Ivysaur has a short, rounded snout with a wide mouth and two pointed teeth in its upper jaw. Each of its feet has three claws on them. The bulb on its back has bloomed into a large pink bud. A short brown trunk surrounded by leafy green fronds supports the bud. The weight of the plant prevents Ivysaur from running fast and standing on its hind legs, forcing its legs to grow sturdy. When its flower is ready to bloom, it gives off a distinct, sweet-smelling aroma and starts swelling. Ivysaur will also start spending more time in sunlight in preparation for its upcoming evolution. Exposure to sunlight adds to the strength of both Ivysaur and its plant. As shown in Pokémon Sleep, Ivysaur is known to sleep in sunny spots while undergoing its photosynthesis process. Researchers cannot decide if Ivysaur is awake or asleep during this process. Ivysaur are typically found in plains. Ivysaur evolves from Bulbasaur and evolves into Venusaur.",60,62,63,80,80,60
#0003,Venusaur,Grass, Poison,Overgrow,,Chlorophyll,Monster, Grass,False,"Venusaur is a dual-type Grass/Poison Pokémon introduced in Generation I. It evolves from Ivysaur starting at level 32. It is the final form of Bulbasaur. Venusaur has two forms: Mega Venusaur and Gigantamax Venusaur. It can Mega Evolve into Mega Venusaur using the Venusaurite, and can Gigantamax into Gigantamax Venusaur if it has the Gigantamax Factor. Gigantamax Venusaur was introduced in The Isle of Armor. Venusaur is the game mascot of Pokémon Green and its remake Pokémon LeafGreen, appearing on the box art of both games. Venusaur is a squat, quadrupedal amphibian Pokémon with bumpy, blue-green skin. It has small, circular red eyes and a short, blunt snout. Its mouth is wide with two pointed teeth in the upper jaw and four in the lower jaw. On top of its head are small, pointed ears with reddish-pink insides. It has three clawed toes on each foot. The bud on its back has bloomed into a large pink, white-spotted flower. The flower is supported by a thick, brown trunk surrounded by green fronds. A female Venusaur has a gynoecium in the center of its flower. Venusaur uses its flower to catch the sun's rays to convert them into energy, which causes the flower to become more vibrant. The flower releases a soothing scent that attracts Pokémon and calms emotions. This scent becomes stronger after a rainy day. Venusaur is at its strongest in the summertime when there is much more sunlight to absorb. As shown in Pokémon Sleep, Venusaur releases a soothing fragrance while sleeping. In the anime, Venusaur has demonstrated the ability to manipulate nature, release several vines from its back, and lead evolution ceremonies for Bulbasaur and Ivysaur. This Pokémon is rarely found in the wild, but it has been known to inhabit grasslands.",80,82,83,100,100,80
#0004,Charmander,Fire,,Blaze,,Solar Power,Monster, Dragon,False,"Charmander is a Fire-type Pokémon introduced in Generation I. It evolves into Charmeleon starting at level 16, which evolves into Charizard starting at level 36. Along with Bulbasaur and Squirtle, Charmander is one of the three first partner Pokémon of Kanto available at the beginning of Pokémon Red, Green, Blue, FireRed, and LeafGreen. Charmander is a bipedal, reptilian Pokémon with a primarily orange body and blue eyes. Its underside from the chest down and the soles of its feet are cream-colored. It has two small fangs visible in its upper jaw and two smaller fangs in its lower jaw. A fire burns at the tip of this Pokémon's slender tail and has blazed there since Charmander's birth. The flame can be used as an indication of Charmander's health and mood, burning brightly when the Pokémon is strong, weakly when it is exhausted, wavering when it is happy, and blazing when it is enraged. It is said that Charmander would die if its flame were to go out. However, if the Pokémon is healthy, the flame will continue to burn even if it gets a bit wet and is said to steam in the rain. As shown in Pokémon Sleep, Charmander is known to sleep while curled up. Supposedly, Charmander is drawing warmth from the flame on its tail. During quiet nights, one can hear the sound of a flame burning if you listen hard enough while Charmander sleeps. Charmander can be found in hot, mountainous areas. It has been recently seen living in the Terarium of Blueberry Academy. However, it is found far more often in the ownership of Trainers. As shown in Pokémon Snap and New Pokémon Snap, Charmander exhibits pack behavior, calling others of its species if it finds food, and watching the flames on each other's tails to ensure they don't go out.",39,52,43,60,50,65
#0005,Charmeleon,Fire,,Blaze,,Solar Power,Monster, Dragon,False,"Charmeleon is a Fire-type Pokémon introduced in Generation I. It evolves from Charmander starting at level 16 and evolves into Charizard starting at level 36. Charmeleon is a bipedal, reptilian Pokémon. It has dark red scales and a cream underside from the chest down. It has blue eyes and a long snout with a slightly hooked tip. On the back of its head is a single horn-like protrusion. It has relatively long arms with three sharp claws. Its short legs have plantigrade feet with three claws and cream-colored soles. The tip of its long, powerful tail has a flame burning on it. The temperature rises to unbearable levels if Charmeleon swings its tail. Charmeleon has a vicious, hotheaded nature, and will constantly seek out opponents. Strong opponents excite this Pokémon, causing it to spout bluish-white flames that torch its surroundings. Charmeleon enjoys tormenting the opponents it fights. However, it will relax once it has won a battle. It is rare in the wild, but it can be found in mountainous areas. As shown in Pokémon Sleep, Charmleon is known to sleep with a laid-back posture , using its hands as a pillow. Its fierce fervor disappears when it sleeps. Charmeleon evolves from Charmander and evolves into Charizard.",58,64,58,80,65,80
#0006,Charizard,Fire, Flying,Blaze,,Solar Power,Monster, Dragon,False,"Charizard is a dual-type Fire/Flying Pokémon introduced in Generation I. It evolves from Charmeleon starting at level 36. It is the final form of Charmander. Charizard has three forms: Mega Charizard X, Mega Charizard Y, and Gigantamax Charizard. It can Mega Evolve into Mega Charizard X using the Charizardite X and Mega Charizard Y using the Charizardite Y, and can Gigantamax into Gigantamax Charizard if it has the Gigantamax Factor. Charizard is the game mascot of Pokémon Red and its remake Pokémon FireRed, appearing on the boxart of both games. Along with Pikachu, Talonflame, and Decidueye, Charizard is one of the four partner Pokémon available through the Unite Licenses in Pokémon UNITE as of version 1.12.1.2. Charizard is a draconic, bipedal Pokémon. It is primarily orange with a cream underside from the chest to the tip of its tail. It has a long neck, small blue eyes, slightly raised nostrils, and two horn-like structures protruding from the back of its rectangular head. There are two fangs visible in its upper jaw when its mouth is closed. Two large wings with blue-green undersides sprout from its back, and a horn-like appendage juts out from the top of the third joint of each wing. A single wing-finger is visible through the center of each wing membrane. Charizard's arms are short and skinny compared to its robust belly, and each limb has three white claws. It has stocky legs with cream-colored soles on each of its plantigrade feet. The tip of its long, tapering tail burns with a sizable flame, which can intensify to a blue flame if Charizard is irritated. Charizard flies in search of powerful opponents to battle, and its fire will burn hotter as it gains experience. Its fiery breath is capable of melting boulders and massive glaciers, and has been known to accidentally cause forest fires. Though its fiery breath is hot, it never turns it on any opponent weaker than itself. Charizard typically inhabits mountains and valleys, such as the Charicific Valley in Johto. The Pokémon the Series episode Charizard's Burning Ambitions showed that only a weak Charizard would show off its power. The side story episode Those Darn Electabuzz! showed that Charizard can swim underwater, with Pokémon Origins further showing that the flame on the tip of the tail can still keep burning underwater. Charizard's wings can carry it to an altitude of 4,600 feet . Charizard lives in herds with Charmander. As shown in Pokémon Sleep, Charizard is known to sleep in a incredibly relaxed position. This is because Charizard is very confident in its own power. Some Charizard are occasionally seen sleeping flat on their backs, which is potentially a sign that those Charizard are especially strong. Even though Charizard originally couldn't learn the move Fly, Trainers have been shown riding Charizard in official artwork dating back to the original Carddass Trading Cards of the year 1997. Ash himself was shown riding his Charizard already in the second season of the original series of Pokémon the Series. Eventually, in Pokémon Yellow, Charizard became able to learn Fly and has since been frequently depicted as a Pokémon able to carry people on its back to fly them to distant areas. In Alola, Charizard is a Ride Pokémon called Charizard Glide, being used by the natives to fly around the region or make deliveries. Charizard Glide",78,84,78,109,85,100
#0007,Squirtle,Water,,Torrent,,Rain Dish,Monster, Water 1,False,"Squirtle is a Water-type Pokémon introduced in Generation I. It evolves into Wartortle starting at level 16, which evolves into Blastoise starting at level 36. Along with Bulbasaur and Charmander, Squirtle is one of the three first partner Pokémon of Kanto available at the beginning of Pokémon Red, Green, Blue, FireRed, and LeafGreen. Squirtle is a small reptilian Pokémon that resembles a light-blue turtle. While it typically walks on its two short legs, it has been shown to run on all fours in Super Smash Bros. Brawl. It has large, purplish or reddish eyes and a slightly hooked upper lip. Each of its hands and feet have three pointed digits. The end of its long, squirrel-like tail curls inward. Its body is encased by a tough shell that forms and hardens after birth. This shell is brown on the top, pale yellow on the bottom, and has a thick white ridge between the two halves. Squirtle's shell is a useful tool. It can withdraw into the shell for protection or to sleep. The grooved, rounded shape helps to reduce water resistance, allowing the Pokémon to swim at high speeds. Squirtle can spray foamy water from its mouth with great accuracy. Squirtle is scarce in the wild, although it can be found around small ponds and lakes. Squirtle can also be found residing around rivers in mountainous regions, as shown in Pokémon Snap and Pokémon Scarlet and Violet. In the Pokémon the Series episode Beach Blank-Out Blastoise, Squirtle are shown to be found living on secluded islands with other members of their evolutionary line. Sharpedo is a natural predator of Squirtle. As shown in Pokémon Sleep, Squirtle is known to sleep by withdrawing its limbs and head into its shell. It does this to protect itself from threats while sleeping. It also on occasion, rocks contentedly from side to side while sleeping. In Generation II, Squirtle and its evolved forms were the only known Pokémon capable of learning the move Skull Bash naturally, but other Pokémon could still inherit it via breeding.",44,48,65,50,64,43
#0008,Wartortle,Water,,Torrent,,Rain Dish,Monster, Water 1,False,"Wartortle is a Water-type Pokémon introduced in Generation I. It evolves from Squirtle starting at level 16 and evolves into Blastoise starting at level 36. Wartortle is a bipedal, indigo reptilian Pokémon similar to a turtle. It has brown eyes, a dark blue streak on each cheek, and two sharp teeth protruding from its upper jaw. It has three clawed fingers and pointed toes. On each side of its head are feather-like ears covered in pale blue fur. A brown shell with a pale yellow underside encases its body. A thick, white rim separates the upper and lower halves of the shell. An older Wartortle may have scars and algae growing on its shell. Poking out of the bottom of the shell is a thick, wavy tail that also has light blue fur and cannot be fully withdrawn into its shell. Its tail fur will darken with age. Its tail is a popular symbol of longevity and good luck, making this Pokémon popular with the elderly. Because they are larger than Squirtle and have a larger shell, Wartortle have a more difficult time walking on land and keeping their balance in the water. To maintain balance while swimming at high speeds, Wartortle moves its furry ears and tail as both rudders and balancing rods. Air can be stored in its fur for extended underwater diving. It hides in water when hunting and emerges to surprise its prey. It's shown in the Pokémon the Series episode Beach Blank-Out Blastoise that Wartortle can be found living in colonies on islands, but its preferred habitat seems to be freshwater ponds and lakes. As shown in Pokémon Sleep, is known to sleep with its body tucked into its shell while remaining wary of threats. It leaves its long, furry tail poking out a bit to feel out its surroundings in case of danger. In Generation II, Wartortle and its evolutionary relatives were the only known Pokémon capable of learning the move Skull Bash naturally, but other Pokémon could still inherit it via breeding. Wartortle evolves from Squirtle and evolves into Blastoise.",59,63,80,65,80,58
#0009,Blastoise,Water,,Torrent,,Rain Dish,Monster, Water 1,False,"Blastoise is a Water-type Pokémon introduced in Generation I. It evolves from Wartortle starting at level 36. It is the final form of Squirtle. Blastoise has two forms: Mega Blastoise and Gigantamax Blastoise. It can Mega Evolve into Mega Blastoise using the Blastoisinite, and can Gigantamax into Gigantamax Blastoise if it has the Gigantamax Factor. Gigantamax Blastoise was introduced in The Isle of Armor. Blastoise is the game mascot of the Japanese and international versions of Pokémon Blue, appearing on the boxart of both games. Blastoise is a large, bipedal turtle Pokémon. Its body is blue and is mostly hidden by its tough, brown shell. This shell has a cream-colored underside and a white ridge encircling its arms and separating the upper and lower halves. Two powerful water cannons/jet nozzles reside at the top of its shell over its shoulders. These cannons can be extended or withdrawn. Blastoise's head has triangular ears that are black on the inside, small brown eyes, and a cream-colored lower jaw. Its arms are thick, and it has three claws on each hand. Its feet have three claws on the front and one on the back. Poking out of the bottom of its shell is a stubby tail. The powerful cannons on this Pokémon's back are capable of producing water blasts that can pierce steel and concrete and can be used for high-speed charges. The speed of Blastoise's charges is similar to the force of a rocket. Blastoise deliberately makes itself heavy to withstand these powerful blasts and to crush its opponents. It is shown in the Pokémon the Series episode Beach Blank-Out Blastoise that Blastoise can take the role of a leader in large groups of Squirtle and Wartortle. Its preferred habitat seems to be freshwater ponds and lakes. As shown in Pokémon Sleep, Blastoise is known to sleep soundly while protected by its tough shell. Blastoise has also been seen sleeping with its belly exposed on very rare occasions. This due to Blastoise feeling completely secure in its surroundings and quickly falling asleep. In Generation II, Blastoise and its pre-evolved forms were the only known Pokémon capable of learning the move Skull Bash naturally, but other Pokémon could still inherit it via breeding.",79,83,100,85,105,78
#0010,Caterpie,Bug,,Shield,,Run Away,Bug,,False,"Caterpie is a Bug-type Pokémon introduced in Generation I. It evolves into Metapod starting at level 7, which evolves into Butterfree starting at level 10. Caterpie is an insect Pokémon that resembles a green caterpillar with a yellow underside and teardrop-shaped tail. There are yellow ring-shaped markings down the sides of its segmented body, which resemble its eyes and are meant to scare off predators. Its most notable characteristic is the bright red antenna on its head, which releases a stench to repel predators. Despite these features and its camouflage in green foliage, Caterpie is often preyed upon by Flying-type Pokémon. Its four tiny feet are tipped with suction cups, permitting this Pokémon to scale most surfaces with minimal effort. Caterpie is easy to capture and grows quickly, making it ideal for new Trainers. As Caterpie grows and develops over time, it will shed its skin many times before finally cocooning itself in thick silk. It can also spit this silk in order to entangle foes as seen in the Pokémon the Series episode Ash Catches a Pokémon. It has a voracious appetite, which drives it to eat a hundred leaves a day. It will even eat leaves bigger than itself. According to Pokémon Adventures, its favorite food is the Vermilion flower. Caterpie lives in temperate forests and jungles. As shown in Pokémon Sleep, Caterpie is known to sleep occasionally while using String Shot. On occasion, it drools out strings instead of saliva.",45,30,35,20,20,45
